Component,Farnell Order Code,Quantity
C 0805 10u,1833812,15
C 0603 4.7uF,2496930,10
C 0805 1u,2496946,30
C 0603 100nF,2496825,10
C 0805 0.1u,499687,40
C 0805 10n,1414662,40
C 0805 22pf,1759489,20
,,
R 0805 10G,2420567,2
R 0805 100M,9236511,10
R 0805 1M,1576507,10
R 0805 100k,2447551,100
R 0603 10k,2447230,10
R 0805 10k,9237755,30
R 0603 2.4k,2059611,10
R 0805 2.4k,2502703,20
R 0603 1k,9238484,10
R 0805 1k,9237496,30
R 0603 470R,9332146,10
R 0805 470R,2447662,30
,,
3.3V LDO TC1262,1296594,3
Crystal 12 Mhz,9713344,5
PMOS ,2061419,5
NMOS,1864589,5
Poti,2550676,3
Opamp ADA4522,2505560,2
Charge Pump ICL7660,1561969,3
Opamp AD8616,1581952,2
2 NiMH AAA Batteries,1662656,2
Battery Holder AAA,1650687,2
Micro USB Type B,2554980,3
MMBT3904,2535650,20
Si2323,1470106,3
Opamp LTC6268,2464182,2
ADC,1778211,3
Temp sensor ic,2080523,3
Opamp LM358,1564331,10
LEDs,1581242,15
