Component, Where to find it, Price
100 W heater, https://www.aliexpress.com/item/25-50-100-200-300W-Aquarium-Heater-Rod-Aquarium-Thermometer-Sticker-Fish-Tank-Temperature-Controller-Aquatic/32799902644.html?spm=2114.01010208.3.284.IBpcaK&ws_ab_test=searchweb0_0,searchweb201602_2_10152_10065_10151_10068_436_10136_10137_10157_10060_10138_10155_10062_10156_10154_10056_10055_10054_10059_10099_10103_10102_10096_10052_10053_10142_10107_10050_10051_10171_10084_10083_10080_10082_10081_10110_10111_10112_10113_10114_10181_10183_10182_10078_10079_10073_10070_10123-10102,searchweb201603_9,ppcSwitch_2&btsid=24a7e3a8-4a6e-49e9-a2d5-e4a77f91aa86&algo_expid=615d5527-bfde-4533-bb15-ee506dada81b-36&algo_pvid=615d5527-bfde-4533-bb15-ee506dada81b , 7 $
3 W compressor, https://www.aliexpress.com/item/Dadypet-Ultra-Silent-Aquarium-Air-Pump-Single-Double-Outlet-3W-220-240V-EU-Plug-Fish-Tank/32750821018.html?spm=2114.01010208.3.63.eYGyGF&ws_ab_test=searchweb0_0,searchweb201602_4_10152_10065_10151_10068_436_10136_10137_10157_10060_10138_10155_10062_10156_10154_10056_10055_10054_10059_10099_10103_10102_10096_10052_10053_10142_10107_10050_10051_10171_10084_10083_10080_10082_10081_10110_10111_10112_10113_10114_10181_10183_10182_10078_10079_10073_10070_10123-10102,searchweb201603_4,ppcSwitch_7&btsid=e7c69a50-6272-420c-af63-ca28838ee8af&algo_expid=4589f3ab-b99b-45fe-84ae-80600fcb7ceb-7&algo_pvid=4589f3ab-b99b-45fe-84ae-80600fcb7ceb , 5.5 $
200 R resistors (300 pcs), https://www.aliexpress.com/item/100pcs-200-ohm-1-4W-200R-Metal-Film-Resistor-200ohm-0-25W-1-ROHS/32575186675.html?spm=2114.01010208.3.25.1KIisr&ws_ab_test=searchweb0_0,searchweb201602_2_10152_10065_10151_10068_436_10136_10137_10157_10060_10138_10155_10062_10156_10154_10056_10055_10054_10059_10099_10103_10102_10096_10052_10053_10142_10107_10050_10051_10171_10084_10083_10080_10082_10081_10110_10111_10112_10113_10114_10181_10183_10182_10078_10079_10073_10070_10123,searchweb201603_9,ppcSwitch_2&btsid=f8e02781-37af-4451-922c-78e5721dc0e9&algo_expid=ade08fb0-18fe-46e6-8b41-979333677a04-3&algo_pvid=ade08fb0-18fe-46e6-8b41-979333677a04 , 2.2 $
100 UV lights, http://www.ebay.de/itm/100-LED-5mm-wasserklar-UV-ultraviolett-Schwarzlicht-/310921137069?hash=item4864580bad, 15.7 €
18 V, 2 A power supply, https://www.aliexpress.com/item/1PCS-High-quality-18V-2A-AC-100V-240V-Converter-Adapter-DC-18V-2A-CCTV-Camera-Power/32655067287.html?spm=2114.01010208.3.2.9sS1fq&ws_ab_test=searchweb0_0,searchweb201602_2_10152_10065_10151_10068_436_10136_10137_10157_10060_10138_10155_10062_10156_10154_10056_10055_10054_10059_10099_10103_10102_10096_10052_10053_10142_10107_10050_10051_10171_10084_10083_10080_10082_10081_10110_10111_10112_10113_10114_10181_10183_10182_10078_10079_10073_10070_10123,searchweb201603_9,ppcSwitch_2&btsid=1ce5bd65-d013-4236-a998-fad81ba28a4b&algo_expid=85f5c981-0e68-4501-93d9-fc73fc0a6884-0&algo_pvid=85f5c981-0e68-4501-93d9-fc73fc0a6884 , 4.6 $
Aquarium silicon, ?, ?
Glass for cuvette, Allehanda Glas Uppsala, ?
Wooden plate, ?, ? 
Old scanner, Dragos, 0 $
Drillstand, https://www.aliexpress.com/item/Dremel-Electric-Drill-Stand-Power-Rotary-Tools-Accessories-Bench-Drill-Press-Stand-DIY-Tool-Double-Clamp/32788449402.html?spm=2114.01010208.3.114.AtI5Wz&ws_ab_test=searchweb0_0,searchweb201602_2_10152_10065_10151_10068_436_10136_10137_10157_10060_10138_10155_10062_10156_10154_10056_10055_10054_10059_10099_10103_10102_10096_10052_10053_10142_10107_10050_10051_10171_10084_10083_10080_10082_10081_10110_10111_10112_10113_10114_10181_10183_10182_10078_10079_10073_10070_10123,searchweb201603_9,ppcSwitch_2&btsid=81b3c775-d360-4724-9bdb-26d3561645c2&algo_expid=62deed24-d153-4531-88ee-96788f0d6552-14&algo_pvid=62deed24-d153-4531-88ee-96788f0d6552, 33 $ 
